,0
to,2446
the,2016
you,1862
it,1201
and,899
that,896
of,749
me,735
but,691
like,671
in,634
for,627
my,602
is,587
so,578
was,507
have,503
be,484
just,481
its,468
good,399
with,392
ill,374
get,368
on,356
yeah,350
what,348
not,345
when,344
now,337
if,324
all,315
can,312
about,311
know,303
at,300
up,289
this,289
going,277
or,268
too,260
want,257
time,257
more,252
would,244
one,242
are,238
really,234
do,233
some,232
though,212
they,212
out,206
your,205
go,201
make,200
how,197
he,196
well,196
think,194
much,190
no,186
there,185
need,175
we,174
little,168
day,164
from,160
talk,160
oh,159
as,159
see,154
say,154
work,151
something,150
stuff,146
shit,144
people,139
send,137
sure,137
lot,136
got,131
alright,128
right,127
back,127
only,124
probably,124
super,123
way,122
had,119
here,116
damn,116
getting,115
still,114
them,114
today,114
she,113
fuck,111
better,110
sleep,109
even,108
cant,105
an,105
trying,105
things,104
cool,104
been,99
were,98
bad,97
guess,97
pretty,97
first,96
never,96
before,95
long,95
fun,94
should,94
tell,93
definitely,92
cause,91
by,90
then,89
sounds,87
hard,86
nice,85
very,85
being,85
than,84
will,83
try,83
take,81
feel,81
thing,81
those,79
talking,79
sorry,78
always,78
videos,78
looks,77
other,76
soon,76
love,75
later,75
look,75
said,73
understand,71
anything,70
many,70
weird,69
could,69
few,69
find,69
use,68
maybe,68
because,67
most,66
words,66
has,66
skate,65
also,65
kind,65
around,64
him,64
friends,64
come,63
great,63
working,63
last,63
his,63
why,63
over,62
learn,62
doing,61
saying,60
start,59
same,59
keep,58
down,58
sometimes,58
did,58
babe,56
makes,56
thanks,56
while,55
after,55
already,54
made,54
end,54
off,54
hope,54
her,52
asleep,52
morning,52
making,51
dude,51
tomorrow,49
true,49
kids,48
mean,48
these,48
might,48
having,47
place,47
actually,47
their,46
funny,46
sent,46
used,45
least,45
started,44
thought,44
again,44
enjoy,44
big,44
life,44
went,44
different,44
wish,44
us,44
let,43
bed,43
into,43
dog,42
dammit,42
looking,42
new,41
idea,41
far,41
best,40
everything,40
give,40
hours,40
ask,40
another,40
hear,40
glad,40
next,40
mind,39
done,39
enough,39
part,39
tired,38
bunch,38
help,38
any,38
game,38
until,38
hopefully,38
design,38
told,38
someone,37
sucks,37
everyone,37
music,37
wait,37
message,36
id,36
where,36
appreciate,36
week,36
house,36
real,36
early,36
put,35
usually,35
bit,35
show,35
sound,34
learning,34
interesting,34
world,33
remember,33
ones,33
often,33
close,32
camp,32
thinking,32
every,32
two,32
stop,32
job,32
late,32
whatever,32
friend,32
happy,32
since,32
play,32
practice,31
watch,31
favorite,31
ago,30
own,30
away,30
dogs,30
pictures,30
cute,30
years,30
person,30
night,30
skating,29
bay,29
crazy,29
word,29
almost,29
old,29
free,29
stay,29
pick,28
which,28
thank,28
especially,28
hot,28
wanted,28
days,28
fine,28
wake,28
problem,27
area,27
sense,27
wont,27
coffee,27
ever,27
yet,27
myself,27
car,26
either,26
coming,26
hate,26
ready,26
must,26
name,26
website,26
without,26
supposed,26
believe,26
money,26
dream,25
excited,25
worry,25
listen,25
point,25
drive,25
weeks,25
year,25
fall,25
feeling,25
random,25
open,25
passport,25
kid,24
teach,24
wonder,24
phone,24
our,24
instead,24
together,24
notice,24
sweet,24
nervous,24
less,24
yes,23
through,23
short,23
second,23
family,23
call,23
seems,23
goes,23
whole,23
home,23
taking,23
meet,23
speak,22
found,22
song,22
forgot,22
places,22
fast,22
worked,22
god,22
guy,22
took,22
happen,22
kidding,22
picture,21
read,21
times,21
deal,21
food,21
room,21
yesterday,21
breakfast,21
perfect,21
telling,21
happens,21
course,21
eat,21
hour,21
hell,20
lots,20
stoked,20
buy,20
minutes,20
small,20
interested,20
park,20
seem,20
using,20
came,20
miss,20
leave,20
totally,20
terrible,19
waiting,19
eventually,19
anyone,19
nothing,19
fucking,19
gets,19
beach,19
worries,19
phrases,19
across,19
heard,19
sun,19
able,19
easy,19
socks,18
basically,18
la,18
program,18
listening,18
mom,18
tried,18
mostly,18
lessons,18
sending,18
who,18
learned,18
dad,18
add,18
watching,18
slow,18
asked,17
attention,17
anyway,17
sleepy,17
once,17
visit,17
summer,17
list,17
ugh,17
computer,17
accent,17
spot,17
beautiful,17
difficult,17
near,17
channel,17
similar,17
figure,17
hmm,16
answer,16
sounded,16
coding,16
sexy,16
dance,16
half,16
surprised,16
quarantine,16
somewhere,16
longer,16
such,16
dice,16
describe,16
judge,16
each,16
fell,16
code,16
girls,16
quick,16
works,16
subtitles,16
extra,16
saw,15
wrong,15
boring,15
figured,15
internet,15
nap,15
laugh,15
movie,15
asking,15
seen,15
normal,15
worst,15
does,15
change,15
check,15
paid,15
ugly,15
skateboard,15
finally,15
side,14
reason,14
photo,14
write,14
memory,14
songs,14
months,14
embarrassing,14
school,14
barely,14
anymore,14
imagine,14
situation,14
whoops,14
beer,14
forever,14
country,14
month,14
keeping,14
hat,14
between,14
head,14
story,14
woke,14
link,14
space,14
strange,14
boy,14
felt,14
lately,14
happening,14
island,14
live,14
class,14
rest,13
says,13
wear,13
plan,13
giving,13
man,13
comfortable,13
seriously,13
move,13
forward,13
expect,13
comes,13
sister,13
online,13
easier,13
skateboarding,13
happened,13
parents,13
phrase,13
top,13
style,13
bet,13
fix,13
knew,13
everyday,13
mine,13
difference,13
forget,13
talked,13
content,13
build,13
mad,13
photos,13
beginning,13
ideas,13
dinner,12
distance,12
hit,12
designer,12
schedule,12
deleted,12
pay,12
unless,12
called,12
literally,12
mask,12
slowly,12
compared,12
lesson,12
outside,12
save,12
walk,12
common,12
simple,12
question,12
body,12
chat,12
web,12
messed,12
starting,12
depends,12
bored,12
option,12
whats,12
aw,12
whenever,12
app,12
ticket,12
building,11
playlist,11
touch,11
needs,11
anytime,11
slang,11
confused,11
exactly,11
decent,11
cold,11
store,11
voice,11
needed,11
leaving,11
book,11
complicated,11
feels,11
ways,11
couple,11
takes,11
gave,11
important,11
bean,11
sad,11
high,11
case,11
meeting,11
mobile,11
chill,11
bring,11
joke,11
luck,11
watched,11
matter,11
changes,10
portfolio,10
else,10
speaking,10
eye,10
middle,10
states,10
tiny,10
both,10
spend,10
hand,10
messages,10
missed,10
grandma,10
study,10
total,10
honestly,10
wondering,10
travel,10
yo,10
stuck,10
poor,10
buttons,10
liked,10
type,10
hurt,10
leg,10
private,10
ended,10
specific,10
page,10
street,10
living,10
upset,10
sleeping,10
actual,10
black,10
worried,10
sentence,10
lets,10
para,10
likely,10
face,10
driving,10
boom,10
hair,10
gone,10
lady,9
per,9
post,9
notes,9
please,9
delete,9
white,9
busy,9
appointment,9
harder,9
plus,9
mi,9
questions,9
corny,9
earlier,9
annoying,9
couch,9
lo,9
shes,9
shows,9
ah,9
film,9
jobs,9
knows,9
city,9
explain,9
expensive,9
sell,9
tips,9
agree,9
shower,9
smoke,9
rules,9
weed,9
click,9
hes,9
full,9
looked,9
everywhere,9
es,9
shy,9
halfway,9
nah,9
strong,9
lunch,9
websites,9
left,9
honest,9
humans,9
staying,9
turn,9
special,9
trip,9
screen,9
basic,9
meant,8
messaged,8
lives,8
road,8
process,8
surprise,8
tonight,8
girl,8
board,8
completely,8
pancakes,8
avocados,8
realize,8
language,8
wherever,8
sit,8
taken,8
brought,8
respond,8
mood,8
town,8
dumb,8
knowing,8
ooh,8
dancing,8
sitting,8
notebook,8
seeing,8
movies,8
mess,8
legs,8
wearing,8
charge,8
stupid,8
kinds,8
flight,8
passed,8
embarrass,8
children,8
helping,8
business,8
con,8
drink,8
eh,8
noticed,8
clips,8
sign,8
playing,7
brother,7
frustrating,7
loud,7
push,7
run,7
pass,7
federal,7
nature,7
plans,7
shell,7
practicing,7
loves,7
understood,7
income,7
problems,7
decide,7
dark,7
rent,7
boys,7
land,7
falling,7
hearing,7
built,7
speaks,7
improve,7
languages,7
attitude,7
translator,7
example,7
awesome,7
anywhere,7
project,7
details,7
tricks,7
beaches,7
win,7
contract,7
brain,7
set,7
future,7
changed,7
houses,7
adobe,7
water,7
promise,7
straight,7
starts,7
shift,7
quite,7
topic,7
stayed,7
putting,7
awake,7
bigger,7
sore,7
ass,7
eating,7
conversation,7
email,7
chance,7
minute,7
moment,7
spots,7
hey,7
added,7
someday,7
break,7
wild,7
camera,7
detail,7
wants,7
share,7
mini,7
blah,7
older,6
uses,6
contact,6
finding,6
baby,6
during,6
technology,6
against,6
mix,6
housing,6
huge,6
remote,6
kept,6
hilarious,6
adding,6
moving,6
suppose,6
care,6
fucked,6
instantly,6
disconnected,6
energy,6
closer,6
affection,6
goal,6
download,6
kangaroo,6
front,6
trust,6
opposite,6
protest,6
rich,6
picking,6
imagined,6
insane,6
wrote,6
judging,6
gotten,6
weekend,6
translate,6
doubt,6
biggie,6
number,6
accident,6
hands,6
running,6
faster,6
ear,6
suck,6
choose,6
memes,6
recently,6
boss,6
viral,6
items,6
vibe,6
roll,6
en,6
pulled,6
grow,6
courses,6
ate,6
join,6
colors,6
main,6
programming,6
arm,6
shut,6
sometime,6
evening,6
strangers,6
enjoyed,6
younger,6
relationships,6
police,6
helped,6
waking,6
button,6
laying,6
listened,6
confident,6
communicate,6
color,6
keeps,6
tan,6
yang,6
likes,6
model,6
wow,6
hold,6
lay,6
laughing,6
picked,6
vibes,6
skated,5
wonderful,5
dreams,5
pants,5
cost,5
rather,5
news,5
aah,5
catch,5
communication,5
meme,5
shitty,5
ridiculous,5
dudes,5
expecting,5
value,5
curls,5
media,5
worse,5
rail,5
countries,5
smart,5
table,5
tied,5
border,5
thoughts,5
government,5
reasonable,5
quality,5
pearl,5
affectionate,5
stoned,5
personality,5
others,5
cleaning,5
chin,5
matters,5
allowed,5
complete,5
directly,5
choice,5
shop,5
cut,5
